2,3,Steve_Zhuang,Ste_huang,1026578666,0.0,0
2,3,Steve_Zhuang,Ste_huang,1026578666,-1.0,0
2,4,Steve_Chandra,Ste_andra,101209352,0.75,0
2,4,Steve_Chandra,Ste_andra,101209352,0.0,0
2,4,Steve_Chandra,Ste_andra,101209352,0.5,0
2,5,Sumanth_Sleder,Sum_leder,457173084,-0.75,0
2,5,Sumanth_Sleder,Sum_leder,457173084,0.5,0
2,8,Sumanth_Zhuang,Sum_huang,164727033,-0.75,0
2,9,Sumanth_Chandra,Sum_andra,1013768660,0.0,0
8,9,Sumanth_Chandra,Sum_andra,1013768660,0,0
2389,9,Sumanth_Chandra,Sum_andra,1013768660,0,0
9,9.00,Sumanth_Chandra,Sum_andra,1013768660,-566347.75,0
2,10,Rankyung_Sleder,Ran_leder,572531859,-1921518,0
2,11,Rankyung_Vishwanath,Ran_anath,472283403,-0.5,0
2,11,Rankyung_Vishwanath,Ran_anath,472283403,-0.5,0
2,11,Rankyung_Vishwanath,Ran_anath,472283403,0.0,0
2,11,Rankyung_Vishwanath,Ran_anath,472283403,-604381,0
9,11.00,Rankyung_Vishwanath,Ran_anath,472283403,-603369.0,0
2,12,Rankyung_Hong,Ran__Hong,909289987,0.5,0
2,13,Rankyung_Zhuang,Ran_huang,102259273,0.25,0
2,13,Rankyung_Zhuang,Ran_huang,102259273,-0.75,0
2,16,Zhou_Vishwanath,Zho_anath,1106703999,-0.75,0
2,16,Zhou_Vishwanath,Zho_anath,1106703999,-1556972,0
2,17,Zhou_Hong,Zho__Hong,1435425053,1.0,0
2,17,Zhou_Hong,Zho__Hong,1435425053,0.75,0
2,17,Zhou_Hong,Zho__Hong,1435425053,-803305,0
2,19,Zhou_Chandra,Zho_andra,996097303,-698703,0
2,21,Abishek_Vishwanath,Abi_anath,1316154708,0.0,0
2,21,Abishek_Vishwanath,Abi_anath,1316154708,0.25,0
2,21,Abishek_Vishwanath,Abi_anath,1316154708,-1.0,0
2,21,Abishek_Vishwanath,Abi_anath,1316154708,-1867579,0
2,22,Abishek_Hong,Abi__Hong,673363405,0.25,0
1234,22,Abishek_Hong,Abi__Hong,673363405,0,0
492,23,Abishek_Zhuang,Abi_huang,325209641,0,0
2,23,Abishek_Zhuang,Abi_huang,325209641,-0.25,0
