0,684334.00,Steve_Sleder,Ste_leder,1285455904
1,956576.00,Steve_Vishwanath,Ste_anath,758823510
2,823598.25,Steve_Hong,Ste__Hong,510019995
3,137630.00,Steve_Zhuang,Ste_huang,1026578666
4,1278576.00,Steve_Chandra,Ste_andra,101209352
5,1986157.00,Sumanth_Sleder,Sum_leder,457173084
6,840920.00,Sumanth_Vishwanath,Sum_anath,1041123346
7,1064333.25,Sumanth_Hong,Sum__Hong,1085440054
8,213454.00,Sumanth_Zhuang,Sum_huang,164727033
9,566356.75,Sumanth_Chandra,Sum_andra,1013768660
10,1920517.50,Rankyung_Sleder,Ran_leder,572531859
11,603380.00,Rankyung_Vishwanath,Ran_anath,472283403
12,679380.00,Rankyung_Hong,Ran__Hong,909289987
13,1278461.50,Rankyung_Zhuang,Ran_huang,102259273
14,894150.00,Rankyung_Chandra,Ran_andra,486357411
15,1681308.50,Zhou_Sleder,Zho_leder,677586067
16,1555972.50,Zhou_Vishwanath,Zho_anath,1106703999
17,802308.50,Zhou_Hong,Zho__Hong,1435425053
18,1059903.00,Zhou_Zhuang,Zho_huang,725839826
19,697704.00,Zhou_Chandra,Zho_andra,996097303
20,1288217.50,Abishek_Sleder,Abi_leder,1334060785
21,1866575.75,Abishek_Vishwanath,Abi_anath,1316154708
22,281298.25,Abishek_Hong,Abi__Hong,673363405
23,682826.75,Abishek_Zhuang,Abi_huang,325209641
24,1693697.00,Abishek_Chandra,Abi_andra,52135998
